,title,cast,certificate,date added,description,director,duration,episode length,genre,imdb rating,imdb_url,img_src,netflix rating,year
42,Adult Beginners ,"Josh Charles, Rose Byrne, Bobby Cannavale, Joel McHale, Mike Birbiglia, Nick Kroll, Jane Krakowski, Jeffrey DeMunn, Paula Garcés, Jason Mantzoukas, Bobby Moynihan, Caitlin Fitzgerald",R,1st March 2016            ,A failed entrepreneur shows up at his sister's door and faces true responsibility for the first time when he's put to work as a nanny to his nephew.,Ross Katz,1hr 32m,,"Dramas, Comedies",5.6/10,http://www.imdb.com/title/tt3318750/,https://art-s.nflximg.net/86675/59b02925bca809bc145d6fb89d4daa0ecf886675.jpg,3.5/5,2014
43,Adult World ,"John Cusack, Cloris Leachman, John Cullum, Armando Riesco, Evan Peters, Emma Roberts, Catherine Lloyd Burns, Reed Birney, Shannon Woodward",R,8th January 2016            ,"While working at a sex shop to make ends meet, recent college grad Amy pursues her dream of becoming a famous poet -- and stalks her punk poet idol.",Scott Coffey,1hr 33m,,"Independent Comedies, Comedies, Independent Films",6.1/10,http://www.imdb.com/title/tt1067765/,https://art-s.nflximg.net/c91f1/5b3e1d058f8c83ec30c70a09044dd487f81c91f1.jpg,3.5/5,2013
44,Adventureland ,"Jesse Eisenberg, Kristen Stewart, Martin Starr, Kristen Wiig, Bill Hader, Ryan Reynolds, Margarita Levieva, Matt Bush, Wendie Malick, Jack Gilpin",R,Unknown Date            ,"Unable to afford the European vacation he'd dreamed of, recent college graduate James Brennan reluctantly takes a summer gig at an amusement park.",Greg Mottola,1hr 46m,,"Romantic Dramas, Independent Comedies, Dramas, Romantic Independent Films, Independent Films, Independent Dramas, Romantic Comedies, Comedies, 20th Century Period Pieces, Romantic Films",6.8/10,http://www.imdb.com/title/tt1091722/,https://art-s.nflximg.net/2c605/871a131dbbf0721ddb30f5beacc3a7088c92c605.jpg,3.4/5,2009
45,Adventures in Babysitting ,"Vincent D'Onofrio, Calvin Levels, Elisabeth Shue, Maria Brewton, Keith Coogan, Anthony Rapp, Penelope Ann Miller, George Newbern, Maia Brewton",PG-13,2nd May 2016            ,"When teenaged Chris Parker agrees to baby-sit for the Andersons after her boyfriend stands her up, it's hardly the boring night she expected.",Chris Columbus,1hr 42m,,"Teen Comedies, Comedies, Cult Films",6.9/10,http://www.imdb.com/title/tt0092513/,https://art-s.nflximg.net/06bad/d5045dc2f3b33ba68993e78b790bc16ed0806bad.jpg,3.7/5,1987
46,Adventures in the Sin Bin ,"Michael Seater, Bo Burnham, Gillian Jacobs, Tim Blake Nelson, Emily Meade, Jeff Garlin, Brian Petsos, Ben McKenzie",NR,Unknown Date            ,"After routinely lending his van to classmates for their amorous escapades, a sexually green teen ends up in the midst of an awkward love triangle.",Billy Federighi,1hr 46m,,"Independent Comedies, Late Night Comedies, Independent Films, Comedies",5.6/10,http://www.imdb.com/title/tt1621432/,https://art-s.nflximg.net/8854b/c621e7d33e06c9091f946020566d8205d928854b.jpg,3.1/5,2012
47,The Adventures of Food Boy ,"Lucas Grabeel, Brittany Curran, Kunal Sharma, Jeff Braine, Noah Bastian, McCall Clark, Joyce Cohen, Ryne Sanborn, Paul Etuk, Nenetzi Scott, Michael Buster, Curt Dousett",PG,Unknown Date            ,"Gifted with the power to make food appear, a teenage boy must decide whether to give up his gift and live a normal life or use his power for good.",Dane Cannon,1hr 30m,,"Family Features, Children & Family Films, Family Comedies, Comedies, Teen Comedies",4.3/10,http://www.imdb.com/title/tt1059773/,https://art-s.nflximg.net/217bc/9631c318b15a865cdd60bca760ae2b06c40217bc.jpg,3.4/5,2008
48,After School: Lucky or Not - Season 2 ,"So-eun Kim, Kang-joon Seo, Il Yoo, Tae-hwan Lee, Tae-oh Kang, Myung Gong",TV-14,1st June 2016            ,Life is challenging -- and a bit surreal -- for a close-knit group of high school students who fill each day with outlandish yet empowering missions.,,1 Season,15min                ,"TV Programmes, TV Comedies, Korean TV Programmes",,,https://art-s.nflximg.net/8f774/94996cec3e2f97820ae3e1bc0b459108a0b8f774.jpg,3.4/5,2014
49,After the Ball ,"Chris Noth, Marc-André Grondin, Portia Doubleday, Lauren Holly, Mimi Kuzyk, Colin Mochrie, Carlo Rota, David Michael, Anna Hopkins, Natalie Krill",TV-PG,24th June 2015            ,"When a young fashion designer's stepmother and stepsisters try to push her out of the family business, she dons a disguise to expose their evil plan.",Sean Garrity,1hr 42m,,"Canadian Films, Romantic Comedies, Romantic Films, Teen Comedies, Comedies",5.9/10,http://www.imdb.com/title/tt3717016/,https://art-s.nflximg.net/1986a/ec402483013bb301e488a664f5612fe5b9b1986a.jpg,4/5,2015
50,Agent F.O.X. ,"Shannon Settlemyre, Michael Yeager, Anthony Lawson, Ashley Bril, Steve Rassin, Steve Vernon, Marc Matney",PG,Unknown Date            ,"Agent F.O.X. arrives in Carrot Town to infiltrate a community of rabbits and locate a mysterious artifact, but he's mistaken for someone else.",Ge Shuiying,1hr 27m,,"Family Adventures, Animal Tales, Family Features, Films for ages 11 to 12, Films for ages 8 to 10, Family Feature Animation, Family Comedies, Children & Family Films, Comedies",3.2/10,http://www.imdb.com/title/tt3897080/,https://art-s.nflximg.net/c27a9/8e6737f57e5ab7201dcd0fac77292cad2afc27a9.jpg,3.3/5,2014
51,Baby Daddy ,"Tahj Mowry, Melissa Peterman, Jean-Luc Bilodeau, Chelsea Kane, Derek Theler",TV-14,15th September 2014            ,"Ben unexpectedly becomes a parent when an ex-girlfriend drops off a baby girl. But with help from friends and family, he steps into the role of dad.",,5 Seasons,23min                ,"TV Programmes, Sitcoms, TV Comedies",7.4/10,http://www.imdb.com/title/tt2177489/,https://art-s.nflximg.net/358c8/cd9854da8ce07c1068b929228c7af30e974358c8.jpg,4.3/5,2016
52,bachelor night ,"Phillip Andre Botello, Heather Paige Cohn, Andrew Bongiorno, Lenny Hernandez, Samantha Stewart, Skyler Yeast, Melissa Mensah, Anna Beletzki, Megan Albertus",NR,2nd October 2015            ,"When a bachelor and a bachelorette party collide in Vegas, sparks fly between the engaged guests of honor, sending both groups of friends scrambling.","Maximilian Elfeldt, Jeff Newman",1hr 28m,,"Late Night Comedies, Comedies, B-Horror Films",3.4/10,http://www.imdb.com/title/tt3797142/,https://art-s.nflximg.net/5b61d/55f35e4017a5624e19f7e531c8d00c234c05b61d.jpg,3/5,2014
53,Bachelor Party 2: The Last Temptation ,"Harland Williams, Greg Pitts, Sara Foster, Josh Cooke, Warren Christie, Danny Jacobs, Emmanuelle Vaugier, Audrey Landers, Max Landwirth, Steven Crowley, Karen-Eileen Gordon",R,4th April 2016            ,"Ron is ready to settle down and get married, but his skeptical future brother-in-law tries to tempt Ron with an out-of-control bachelor party.",James Ryan,1hr 42m,,"Late Night Comedies, Comedies",5.2/10,http://www.imdb.com/title/tt0954541/,https://art-s.nflximg.net/0ab1c/2d6cc18ceb77ef4ac9245649d70eb3cf2880ab1c.jpg,3/5,2007
54,Bad Boys II ,"Martin Lawrence, Theresa Randle, Will Smith, Peter Stormare, Gabrielle Union, Jordi Mollà, Joe Pantoliano, Jon Seda, Yul Vasquez, Michael Shannon",R,10th July 2016            ,"In this hyperkinetic sequel, a pair of Miami narcotics cops investigate a Cuban drug kingpin's connection to Florida's influx of Ecstasy.",Michael Bay,2hr 26m,,"Action & Adventure, Action Comedies, Action Thrillers",6.6/10,http://www.imdb.com/title/tt0172156/,https://art-s.nflximg.net/d5043/1c4cef8597f60a68d31b7f9edaa941a2736d5043.jpg,3.8/5,2003
55,Bad Grandpa .5 ,"Johnny Knoxville, Jackson Nicoll, Greg Harris, Georgina Cates, Kamber Hejlik, Jill Kill, Madison Davis, George Faughnan, Spike Jonze",UR,Unknown Date            ,"The geriatric antics of Irving Zisman continue in this next installment of the Jackass franchise, which features unused footage from the first film.",Jeff Tremaine,1hr 26m,,"Slapstick Comedies, Late Night Comedies, Comedies",6.4/10,http://www.imdb.com/title/tt3766424/,https://art-s.nflximg.net/1ea7f/d8ae08562358ca76a8184affd0dfe94104c1ea7f.jpg,3.6/5,2014
56,Bad Grandpa .5: Bonus Material ,"Johnny Knoxville, Jackson Nicoll, Spike Jonze, Catherine Keener",TV-14,Unknown Date            ,"Watch deleted scenes, a history of Johnny Knoxville's character Irving Zisman and interviews between Knoxville and the people he pranked in the film.",,31m,,"Slapstick Comedies, Late Night Comedies, Comedies",,,https://art-s.nflximg.net/76ac0/b73f2456821657ea65a5463abeb6f0cc6fa76ac0.jpg,3.7/5,2014
57,Bad Hair Day ,"Christian Campbell, Laura Marano, Leigh-Allyn Baker, Christian Paul, Mike Paterson, Pauline Little, Alain Goulem, Jake Manley, Zoé De Grand Maison, Kiana Madeira",TV-G,1st July 2015            ,"Nerdy Monica's dreams of prom glory wither when she wakes with unruly hair and then gets entangled with a cop, a jewel thief and a priceless necklace.",Erik Canuel,1hr 31m,,"Films for ages 8 to 10, Films for ages 11 to 12, Children & Family Films, Family Comedies, Canadian Films, Disney, Comedies",6.5/10,http://www.imdb.com/title/tt3856042/,https://art-s.nflximg.net/98cf0/c995e395f5ac79927937cae62a7dc97d1fa98cf0.jpg,4.1/5,2015
58,Bad Milo! ,"Ken Marino, Gillian Jacobs, Mary Kay Place, Claudia Choi, Toby Huss, Patrick Warburton, Erik Charles Nielsen, Peter Stormare, Stephen Root, Kumail Nanjiani",R,Unknown Date            ,A man has so much stress that a creature has grown inside his digestive tract -- and pops out now and then to kill whoever's causing him problems.,Jacob Vaughan,1hr 24m,,"Horror Comedy, Horror Films, Independent Comedies, Creature Features, Late Night Comedies, Independent Films, Monster Films, Comedies",5.7/10,http://www.imdb.com/title/tt2274570/,https://art-s.nflximg.net/0e5e6/04d5d6b5435775f927e802ff8ddab2e60aa0e5e6.jpg,3.2/5,2013
59,Bad Night ,"Judy Marte, Owen Smith, Julianna Guill, Jenn McAllister, Lauren Elizabeth Luthringshausen, Gareth Reynolds, Molly Ringwald, Jim O'Heir, Matt Walsh, Ted Travelstead, Jack McBrayer, June Diane Raphael, Casey Wilson, Eric Edelstein, Eddie Pepitone, Adam Pally, Jayson Paul",NR,4th September 2015            ,"When two teenage girls are mistaken for a pair of famous art thieves, their boring class field trip turns into the adventure of their lives.","Chris Riedell, Nick Riedell",1hr 32m,,Comedies,5/10,http://www.imdb.com/title/tt4437046/,https://art-s.nflximg.net/cd98e/81a7948c167451400e10631c9fcdcc83659cd98e.jpg,3.4/5,2015
60,Bad Roomies ,"Patrick Renna, Kyle Howard, Page Kennedy, Jackie Tohn, Tommy Savas, Annie Monroe, Christopher Masterson, Lynsey Bartilson, Jordan Masterson, Eric Pumphrey",NR,30th March 2016            ,"Best buddies allow a mysterious, attractive woman to become their new roommate, not realizing that her presence will soon tear them hilariously apart.",Jason Schnell,1hr 33m,,"Dark Comedies, Comedies, Independent Films",5.1/10,http://www.imdb.com/title/tt3482062/,https://art-s.nflximg.net/7f13a/d663f905db7f41a0a41af72ac7bcfd418f37f13a.jpg,3.1/5,2015
61,Badges of Fury ,"Jet Li, Wen Zhang, Michelle Chen, Cecilia Liu, Yan Liu, Raymond Lam, Stephen Fung, Siu-Lung Leung, Jacky Wu, Ka-Yan Leung, Collin Chou",NR,Unknown Date            ,"When a series of eerie murders erupts across Hong Kong, a young maverick cop and a grizzled vet are assigned to the case.",Tsz-ming Wong,1hr 37m,,"Chinese Films, International Action & Adventure, Asian Action Films, International Comedies, Action Comedies, International Movies, Action & Adventure, Martial Arts Films, Crime Action & Adventure, Comedies",4.7/10,http://www.imdb.com/title/tt2644714/,https://art-s.nflximg.net/a90f7/e630900de05e80baca38c208e5d91e366c9a90f7.jpg,3.2/5,2013
62,Badults ,"Jack Docherty, Emer Kenny, Max Olesker, Ben Clark, Matthew Crosby, Tom Parry",TV-14,1st September 2015            ,The members of the comedy group Pappy's star in this sitcom about childhood pals who fail miserably at adulthood through a series of misadventures.,,1 Season,28min                ,"TV Programmes, British TV Programmes, British TV Comedies",3.6/10,http://www.imdb.com/title/tt3084090/,https://art-s.nflximg.net/246dd/f587977c3d7abbcd13a65f7e0ce2073162f246dd.jpg,2.3/5,2013
63,Bajatey Raho ,"Tusshar Kapoor, Ravi Kishan, Ranvir Shorey, Dolly Ahluwalia, Vinay Pathak, Vishakha Singh, Kamlesh Gill, Hussan Saad",NR,1st January 2016            ,"A clever con man is oblivious to a plot by four of his victims, good-hearted underdogs driven to embrace their dark sides in order to get revenge.",Shashant Shah,1hr 40m,,"Comedies, Musicals, International Comedies",5.3/10,http://www.imdb.com/title/tt2848824/,https://art-s.nflximg.net/804c3/1dd9eab90995fa136098e637b7b97c2a172804c3.jpg,2.8/5,2013
64,Bang Bang! ,"Danny Denzongpa, Hrithik Roshan, Pavan Malhotra, Jimmy Shergill, Katrina Kaif, Javed Jaffrey, Deepti Naval, Vikram Gokhale, Ankur Vikal, Kanwaljeet Singh",NR,6th November 2015            ,"After a chance encounter with a fugitive spy, a bank receptionist is swept into a world of drama, danger and espionage.",Siddharth Anand,2hr 33m,,"Action & Adventure, Action Comedies, International Action & Adventure",7.7/10,http://www.imdb.com/title/tt3701644/,https://art-s.nflximg.net/9c05f/c18fd86c4d6d1795603e822da84d979228a9c05f.jpg,3.5/5,2014
65,Barbarella ,"Jane Fonda, John Phillip Law, Anita Pallenberg, Milo O'Shea, Marcel Marceau, Claude Dauphin, Véronique Vendell, Giancarlo Cobelli, David Hemmings, Ugo Tognazzi",R,Unknown Date            ,A shapely 41st-century space traveler dispatched to find a missing scientist discovers the joys of celestial sex and experiences kinky misadventures.,Roger Vadim,1hr 38m,,"Sci-Fi & Fantasy, Classic Comedies, Camp Films, International Movies, French Films, Sci-Fi Adventure, Action & Adventure, Cult Films, Classic Action & Adventure, Classic Sci-Fi & Fantasy, Classic Films, International Action & Adventure, International Sci-Fi & Fantasy, International Comedies, Adventures, Cult Sci-Fi & Fantasy, Cult Comedies, Comedies, Fantasy",5.9/10,http://www.imdb.com/title/tt0062711/,https://art-s.nflximg.net/6401d/fd286b3fe1f336997b89b874c41a8a68dcf6401d.jpg,3/5,1968
66,Barbecue ,"Lambert Wilson, Franck Dubosc, Florence Foresti, Guillaume de Tonquedec, Lionel Abelanski, Jérôme Commandeur, Sophie Duez, Lysiane Meis, Valérie Crouzet",NR,23rd February 2015            ,"When a heart attack sidelines him just before his 50th birthday, Antoine Chevalier decides to give up healthy habits and embrace a life of excess.",Eric Lavaine,1hr 37m,,"International Comedies, International Movies, French Films, Comedies",6.1/10,http://www.imdb.com/title/tt3202120/,https://art-s.nflximg.net/1a5d6/81606bb73b7b9b84b2f6c7da1c6736ec72f1a5d6.jpg,3.5/5,2014
67,Batman: The Movie ,"Burgess Meredith, Lee Meriwether, Cesar Romero, Adam West, Frank Gorshin, Burt Ward, Reginald Denny, Neil Hamilton, Sterling Holloway, Vince Barbi, Milton Frome, Gil Perkins, Alan Napier, Maurice Dallimore, William Tannen, Gregory Gaye",PG,1st July 2016            ,Batman and Robin battle a host of villains while trying to maintain their secret identities in this big-screen version of the campy 1960s TV series.,Leslie H. Martinson,1hr 44m,,"Action & Adventure, Action Comedies, Classic Action & Adventure",6.5/10,http://www.imdb.com/title/tt0060153/,https://art-s.nflximg.net/5e7b9/a528c39a745ab1a0626d311b6388939bb775e7b9.jpg,3.5/5,1966
68,Battle Creek ,"Janet McTeer, Kal Penn, Dean Winters, Aubrey Dollar, Josh Duhamel, Edward Fordham Jr., Meredith Eaton, Damon Herriman, Liza Lapira",TV-14,21st January 2016            ,"A polished FBI agent must team up with a cynical cop when he's dispatched to Battle Creek, Michigan, to set up an office at the local precinct.",,1 Season,41min                ,"TV Programmes, TV Comedies, Crime TV Programmes",7.4/10,http://www.imdb.com/title/tt3215364/,https://art-s.nflximg.net/d1d71/9fbcdeb37a7643d0db013a6888a34cc953ed1d71.jpg,4.2/5,2015
69,Bear City ,"Joe Conti, Stephen Guarino, Brian Keane, Gregory Gunter, Sebastian La Cause, Alex Di Dio, James Martinez, Gerald McCullouch, Christian Dante White, David Drake",NR,30th September 2014            ,"As he comes to grips with his attraction to big, hairy men, cute cub Tyler struggles to figure out his place within the tight-knit bear community.",Douglas Langway,1hr 44m,,"Gay & Lesbian Films, Independent Comedies, Late Night Comedies, Romantic Independent Films, Independent Films, Romantic Gay & Lesbian Films, Gay & Lesbian Comedies, Romantic Comedies, Romantic Films, Comedies",6.1/10,http://www.imdb.com/title/tt1426320/,https://art-s.nflximg.net/ace0d/dc29378b30d08bddcf7fd08317d97e6cba8ace0d.jpg,3.4/5,2010
70,Beauty & the Briefcase ,"Hilary Duff, Chris Carmack, Michael McMillian, Amanda Walsh, Kevin Kirkpatrick, Jennifer Coolidge, Matt Dallas, James McDaniel, Jaime Pressly, Brandi Coleman",TV-14,Unknown Date            ,A young journalist gets hired to write a career-making story on love in the workplace but must ultimately choose between her assignment and her heart.,Gil Junger,1hr 26m,,"Romantic Comedies, Comedies, Romantic Films",5.5/10,http://www.imdb.com/title/tt1493842/,https://art-s.nflximg.net/db096/d39d5111293f2e791de5860e97a5f3a620edb096.jpg,3.6/5,2010
71,Beavis and Butt-head Do America ,"Cloris Leachman, Demi Moore, Robert Stack, Bruce Willis, Mike Judge, Jacqueline Barba, Eric Bogosian, David Letterman, Pamela Blair, Kristofor Brown, Tony Darling",PG-13,6th July 2016            ,"After realizing that their boob tube is gone, Beavis and Butt-head set off on an expedition that takes them from Las Vegas to the nation's capital.",Mike Judge,1hr 20m,,"Late Night Comedies, Comedies, Adult Animation",6.8/10,http://www.imdb.com/title/tt0115641/,https://art-s.nflximg.net/21a53/5bc0b6987ee275ab2fff16b5b06ff9efcd521a53.jpg,3.4/5,1996
72,Bedazzled ,"Barry Humphries, Dudley Moore, Raquel Welch, Eleanor Bron, Peter Cook, Robert Russell, Michael Bates, Bernard Spear, Robin Hawdon, Michael Trubshawe, Howard Goorney, Alba, Parnell McGarry, Danièle Noël",NR,1st December 2015            ,"Hoping to win over his secret crush, a shy cook sells his soul in exchange for seven wishes, but the crafty devil continually twists his desires.",Stanley Donen,1hr 43m,,"Comedies, Classic Films, Classic Comedies",7/10,http://www.imdb.com/title/tt0061391/,https://art-s.nflximg.net/dee5d/25357ffa3354da09b3c7d2a719a1b7513dcdee5d.jpg,3.2/5,1967
73,Beethoven's Treasure Tail ,"Jonathan Silverman, Kristy Swanson, Bretton Manley, Jeffrey Combs, Alec Mapa, Jayne Eastwood, David DeLuise, Brian George, Udo Kier, Colin Mochrie",PG,14th October 2014            ,"After losing his job, America's beloved St. Bernard gets stranded in a small town and hunts for lost pirate treasure with a newfound friend.",Ron Oliver,1hr 37m,,"Films for ages 5 to 7, Animal Tales, Films for ages 11 to 12, Films for ages 8 to 10, Children & Family Films, Family Comedies, Comedies",4.7/10,http://www.imdb.com/title/tt3124476/,https://art-s.nflximg.net/35980/4db78e88bd1bb371f8058d4f83e78b0407335980.jpg,3.9/5,2014
74,Begin Again ,"Mark Ruffalo, Keira Knightley, Mos Def, James Corden, Hailee Steinfeld, Adam Levine, Catherine Keener, Cee Lo Green",R,27th April 2016            ,"When a down-on-his-luck music producer discovers a promising singer-songwriter in a bar, he resolves to launch her career -- and save his own.",John Carney,1hr 44m,,"Romantic Comedies, Dramas, Comedies",7.4/10,http://www.imdb.com/title/tt1980929/,https://art-s.nflximg.net/03acc/0953023f18955ae37d55caa78b746cb80ed03acc.jpg,4.1/5,2014
75,Beginners ,"Ewan McGregor, Christopher Plummer, Mélanie Laurent, Goran Visnjic, Kai Lennox, Mary Page Keller, Keegan Boos, China Shavers, Melissa Tang, Amanda Payton",R,Unknown Date            ,"This absorbing drama follows a graphic artist as he comes to grips with the imminent death of his father, who, at 75, has one last secret: He's gay.",Mike Mills,1hr 43m,,"Romantic Dramas, Gay & Lesbian Films, Independent Comedies, Quirky Romance, Dramas, Romantic Independent Films, Gay & Lesbian Dramas, Independent Films, Gay & Lesbian Comedies, Independent Dramas, Romantic Gay & Lesbian Films, Romantic Comedies, Comedies, Romantic Films",7.2/10,http://www.imdb.com/title/tt1532503/,https://art-s.nflximg.net/65a14/607ddce02c3229a3ee27d7d8cae11133fb965a14.jpg,3.7/5,2011
76,Behaving Badly ,"Nat Wolff, Selena Gomez, Mary-Louise Parker, Elisabeth Shue, Dylan McDermott, Lachlan Buchanan, Heather Graham,  Ashley Rickards, Jason Lee, Austin Stowell",R,28th December 2014            ,"While trying to land his crush and win a bet with a gangster's son, Rick deals with his dysfunctional family and gets involved with an older woman.",Tim Garrick,1hr 36m,,"Late Night Comedies, Comedies",4.4/10,http://www.imdb.com/title/tt2314824/,https://art-s.nflximg.net/3f760/1410a0ceacaeab19ed61fca0015056771653f760.jpg,3.2/5,2014
